site,date,start_hour,value,variable,units,quality,prelim,name 
2899,2015-01-04,15,0.0429,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,16,0.0413,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,17,0.0348,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,18,0.0144,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,19,0.0063,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,20,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,21,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-04,22,0.0061,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-05,0,0.0182,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,1,0.0216,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,2,0.0243,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,5,0.0237,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,6,0.0233,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,7,0.0202,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,8,0.0257,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,9,0.0216,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,10,0.0255,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,11,0.0353,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,12,0.0366,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,13,0.0378,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,14,0.0384,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,15,0.0350,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,16,0.0247,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,17,0.0274,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,18,0.0293,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,19,0.0281,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,20,0.0240,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-05,21,0.0240,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
